Origin Marker: 2							
Other reference Marker: 1							
Ratio of Paper map to real life	0.0001						
							
Marker name	x value	y value	lat	lon		scaled x	scaled y
 Max: 689 Avg: 106.1875 Min: 350	14.562292893	0.3612919171	30.1687777	-85.754106		145622.928929746	3612.9191706887
 Max: 689 Avg: 106.1875 Min: 350	14.562292893	0.3612919171	30.1687777	-85.754106			
 Max: 1108 Avg: 778.375 Min: 216	6.1590067124	0.8816821015	30.1688416	-85.7540592			
 Max: 1108 Avg: 778.375 Min: 216	6.1590067124	0.8816821015	30.1688416	-85.7540592			
 Max: 946 Avg: 407.4375 Min: 197	10.1170113158	0.498540056	30.1688121	-85.7540825			
 Max: 946 Avg: 407.4375 Min: 197	10.1170113158	0.498540056	30.1688121	-85.7540825			
 Max: 887 Avg: 367.8125 Min: 116	10.3575108805	0.4769915649	30.1688103	-85.7540839			
 Max: 887 Avg: 367.8125 Min: 116	10.3575108805	0.4769915649	30.1688103	-85.7540839			
							
actual	10.24	0.5334					
actual	5.9	0.813					
